title,link,time
Trump on Chris Christie: 'Please do not call him a fat pig',{'https://news.google.com/topics/articles/CBMiVmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZG9uYWxkLXRydW1wLWNocmlzLWNocmlzdGllLWZhdC1waWctcmFsbHktdmlkZW8tMjAyMy040gFaaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmNvbS9kb25hbGQtdHJ1bXAtY2hyaXMtY2hyaXN0aWUtZmF0LXBpZy1yYWxseS12aWRlby0yMDIzLTg_YW1w?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T19:45:00Z
Biden announces a new national monument near the Grand Canyon,{'https://news.google.com/topics/articles/CBMiaWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL3BvbGl0aWNzL3doaXRlLWhvdXNlL2JpZGVuLWFubm91bmNlcy1uZXctbmF0aW9uYWwtbW9udW1lbnQtZ3JhbmQtY2FueW9uLXJjbmE5ODgwM9IBKmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL3JjbmE5ODgwMw?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T19:25:36Z
Biden announces new Grand Canyon national monument,{'https://news.google.com/topics/articles/CCAiCzRWREFOTTd4NF9NmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:38:03Z
Biden moves to protect lands near Grand Canyon,{'https://news.google.com/topics/articles/CCAiC3A1SDhPY1FwMDBZmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T22:27:42Z
"Out West, President Biden makes his case | Editorials | santafenewmexican.com",{'https://news.google.com/topics/articles/CBMijgFodHRwczovL3d3dy5zYW50YWZlbmV3bWV4aWNhbi5jb20vb3Bpbmlvbi9lZGl0b3JpYWxzL291dC13ZXN0LXByZXNpZGVudC1iaWRlbi1tYWtlcy1oaXMtY2FzZS9hcnRpY2xlXzEzNTAzMTQwLTM1NzQtMTFlZS05YWQxLWMzNmM1MWEzZjBiOC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T03:00:00Z
"Tornado in Mattapoisett touched down for three minutes, National Weather Service says",{'https://news.google.com/topics/articles/CBMiZ2h0dHBzOi8vd3d3LmNic25ld3MuY29tL2Jvc3Rvbi9uZXdzL3Rvcm5hZG8tZGFtYWdlLW1hdHRhcG9pc2V0dC1tYXNzYWNodXNldHRzLW5hdGlvbmFsLXdlYXRoZXItc2VydmljZS_SAWtodHRwczovL3d3dy5jYnNuZXdzLmNvbS9hbXAvYm9zdG9uL25ld3MvdG9ybmFkby1kYW1hZ2UtbWF0dGFwb2lzZXR0LW1hc3NhY2h1c2V0dHMtbmF0aW9uYWwtd2VhdGhlci1zZXJ2aWNlLw?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T21:11:00Z
Tornado rips through two Mass. communities,{'https://news.google.com/topics/articles/CCAiC3VGZzZiTWExNmg0mAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T02:15:31Z
Mattapoisett community begins cleanup after tornado hits,{'https://news.google.com/topics/articles/CCAiC28ySW11TnhiZFEwmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:16:31Z
"Active Weather Today, Much Calmer Tomorrow",{'https://news.google.com/topics/articles/CBMiSGh0dHBzOi8vd2hkaC5jb20vd2VhdGhlci1ibG9nL2FjdGl2ZS13ZWF0aGVyLXRvZGF5LW11Y2gtY2FsbWVyLXRvbW9ycm93L9IBTGh0dHBzOi8vd2hkaC5jb20vd2VhdGhlci1ibG9nL2FjdGl2ZS13ZWF0aGVyLXRvZGF5LW11Y2gtY2FsbWVyLXRvbW9ycm93L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T22:11:31Z
Tampa mayor finds big catch off Florida Keys: 70 pounds of cocaine,{'https://news.google.com/topics/articles/CBMiY2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy90YW1wYS1tYXlvci1iaWctY2F0Y2gtZmxvcmlkYS1rZXlzLTcwLXBvdW5kcy1jb2NhaW5lLXJjbmE5ODg5OdIBKmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL3JjbmE5ODg5OQ?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:22:00Z
